Here are the characters returned by the scanner:
    line col   char
     0   0     /
     0   1     *
     0   2        space
     0   3     P
     0   4     R
     0   5     O
     0   6     G
     0   7     R
     0   8     A
     0   9     M
     0  10        space
     0  11     N
     0  12     A
     0  13     M
     0  14     E
     0  15     :
     0  16        space
     0  17     n
     0  18     x
     0  19     x
     0  20     1
     0  21     .
     0  22     t
     0  23     x
     0  24     t
     0  25        newline
     1   0        newline
     2   0     n
     2   1     x
     2   2     x
     2   3        space
     2   4     i
     2   5     s
     2   6        space
     2   7     a
     2   8        space
     2   9     s
     2  10     i
     2  11     m
     2  12     p
     2  13     l
     2  14     e
     2  15        space
     2  16     p
     2  17     r
     2  18     o
     2  19     g
     2  20     r
     2  21     a
     2  22     m
     2  23     m
     2  24     i
     2  25     n
     2  26     g
     2  27        space
     2  28     l
     2  29     a
     2  30     n
     2  31     g
     2  32     u
     2  33     a
     2  34     g
     2  35     e
     2  36        space
     2  37     t
     2  38     h
     2  39     a
     2  40     t
     2  41        space
     2  42     p
     2  43     r
     2  44     o
     2  45     v
     2  46     i
     2  47     d
     2  48     e
     2  49     s
     2  50     :
     2  51        newline
     3   0        space
     3   1     n
     3   2     u
     3   3     m
     3   4     b
     3   5     e
     3   6     r
     3   7     s
     3   8        newline
     4   0        space
     4   1     s
     4   2     t
     4   3     r
     4   4     i
     4   5     n
     4   6     g
     4   7     s
     4   8        newline
     5   0        space
     5   1     a
     5   2     s
     5   3     s
     5   4     i
     5   5     g
     5   6     n
     5   7     m
     5   8     e
     5   9     n
     5  10     t
     5  11        space
     5  12     s
     5  13     t
     5  14     a
     5  15     t
     5  16     e
     5  17     m
     5  18     e
     5  19     n
     5  20     t
     5  21     s
     5  22        newline
     6   0        space
     6   1     s
     6   2     t
     6   3     r
     6   4     i
     6   5     n
     6   6     g
     6   7        space
     6   8     c
     6   9     o
     6  10     n
     6  11     c
     6  12     a
     6  13     t
     6  14     e
     6  15     n
     6  16     a
     6  17     t
     6  18     i
     6  19     o
     6  20     n
     6  21        newline
     7   0        space
     7   1     s
     7   2     i
     7   3     m
     7   4     p
     7   5     l
     7   6     e
     7   7        space
     7   8     a
     7   9     r
     7  10     i
     7  11     t
     7  12     h
     7  13     m
     7  14     e
     7  15     t
     7  16     i
     7  17     c
     7  18        space
     7  19     o
     7  20     p
     7  21     e
     7  22     r
     7  23     a
     7  24     t
     7  25     i
     7  26     o
     7  27     n
     7  28     s
     7  29        newline
     8   0        space
     8   1     p
     8   2     r
     8   3     i
     8   4     n
     8   5     t
     8   6        space
     8   7     c
     8   8     a
     8   9     p
     8  10     a
     8  11     b
     8  12     i
     8  13     l
     8  14     i
     8  15     t
     8  16     y
     8  17        newline
     9   0        space
     9   1        newline
    10   0     c
    10   1     o
    10   2     m
    10   3     m
    10   4     e
    10   5     n
    10   6     t
    10   7     s
    10   8        space
    10   9     m
    10  10     a
    10  11     y
    10  12        space
    10  13     b
    10  14     e
    10  15        space
    10  16     e
    10  17     n
    10  18     c
    10  19     l
    10  20     o
    10  21     s
    10  22     e
    10  23     d
    10  24        space
    10  25     i
    10  26     n
    10  27        space
    10  28     s
    10  29     l
    10  30     a
    10  31     s
    10  32     h
    10  33     +
    10  34     a
    10  35     s
    10  36     t
    10  37     e
    10  38     r
    10  39     i
    10  40     s
    10  41     k
    10  42        space
    10  43     .
    10  44     .
    10  45        space
    10  46     a
    10  47     s
    10  48     t
    10  49     e
    10  50     r
    10  51     i
    10  52     s
    10  53     k
    10  54     +
    10  55     s
    10  56     l
    10  57     a
    10  58     s
    10  59     h
    10  60        newline
    11   0     *
    11   1     /
    11   2        newline
    12   0     a
    12   1     l
    12   2     p
    12   3     h
    12   4     a
    12   5        space
    12   6     =
    12   7        space
    12   8     1
    12   9     6
    12  10        space
    12  11     ;
    12  12        newline
    13   0     b
    13   1     e
    13   2     t
    13   3     a
    13   4        space
    13   5     =
    13   6        space
    13   7     2
    13   8        space
    13   9        space
    13  10        space
    13  11     ;
    13  12        newline
    14   0     r
    14   1     e
    14   2     s
    14   3     u
    14   4     l
    14   5     t
    14   6     N
    14   7     a
    14   8     m
    14   9     e
    14  10        space
    14  11     =
    14  12        space
    14  13     "
    14  14     d
    14  15     e
    14  16     l
    14  17     t
    14  18     a
    14  19     "
    14  20        space
    14  21     ;
    14  22        newline
    15   0     d
    15   1     e
    15   2     l
